id,kanji,onyomi,kunyomi,meaning,score,taux,JLPT
1,日,"nichi, jitsu","hi, -bi, -ka","day, sun, Japan, counter, for, days",9.0,1.243,5.0
2,一,ichi,hitotsu,one,7.0,1.201,5.0
3,国,koku,kuni,country,7.0,0.961,5.0
4,人,"jin, nin",hito,person,9.0,0.961,5.0
5,年,nen,toshi,"year, counter, for, years",9.0,1.201,5.0
6,大,"dai, tai",ookii,"large, big",9.0,1.201,5.0
7,十,juu,"tou, to","ten, 10",9.0,1.201,5.0
8,二,"ni, ji",futatsu,"two, 2",7.0,1.201,5.0
9,本,hon,moto,"book, present, true, counter, for, long, cylindrical, things",9.0,0.961,5.0
10,中,chuu,"naka, uchi, ataru","in, inside, middle, mean, center",7.0,1.201,5.0
11,長,chou,"nagai, osa","long, leader, superior, senior",9.0,0.961,5.0
12,出,"shutsu, sui","deru, dasu, ideru","exit, leave, go, out",9.0,1.201,5.0
13,三,san,mitsu,"three, 3",9.0,1.201,5.0
14,時,ji,"toki, doki","time, hour",9.0,1.201,5.0
15,行,"kou, gyou, an","iku, yuku, okonau","going, journey, carry, out, line, row",14.0,1.201,5.0
16,見,ken,"miru, miseru","see, hopes, chances, idea, opinion, look, at, visible",9.0,1.874,5.0
17,月,"getsu, gatsu",tsuki,"month, moon",9.0,1.201,5.0
18,分,"bun, fun, bu",wakeru,"part, minute, of, time, understand",9.0,1.201,5.0
19,後,"go, kou","nochi, ushiro, ato","behind, back, later",9.0,1.201,5.0
20,前,zen,mae,"in, front, before",9.0,1.201,5.0
21,生,"sei, shou","ikiru, umu, ou, haeru, nama","life, genuine, birth",19.0,1.201,5.0
22,五,go,itsutsu,"five, 5",9.0,2.547,5.0
23,間,"kan, ken","aida, ma, ai","interval, space",9.0,1.201,5.0
24,上,"jou, shou, shan","ue, uwa, kami, ageru, noboru, tatematsuru","above, up",9.0,1.201,5.0
25,東,tou,higashi,east,9.0,1.201,5.0
26,四,shi,"yotsu, yon","four, 4",9.0,1.201,5.0
27,今,"kon, kin",ima,"now;, the, present",9.0,1.201,5.0
28,金,"kin, kon, gon","kane, kana, gane",gold,9.0,1.201,5.0
