id,katakana,onyomi,score,taux
1,ア,a,9,2.174
2,イ,i,9,2.174
3,ウ,u,9,2.174
4,エ,e,9,2.174
5,オ,o,9,2.174
6,カ,ka,9,2.174
7,キ,ki,9,2.174
8,ク,ku,9,2.174
9,ケ,ke,9,2.174
10,コ,ko,9,2.174
11,サ,sa,9,2.174
12,シ,shi,9,2.174
13,ス,su,9,2.174
14,セ,se,9,2.174
15,ソ,so,9,2.174
16,タ,ta,9,2.174
17,チ,chi,9,2.174
18,ツ,tsu,9,2.174
19,テ,te,9,2.174
20,ト,to,9,2.174
21,ナ,na,9,2.174
22,ニ,ni,9,2.174
23,ヌ,nu,9,2.174
24,ネ,ne,9,2.174
25,ノ,no,9,2.174
26,ハ,ha,9,2.174
27,ヒ,hi,9,2.174
28,フ,fu,9,2.174
29,ヘ,he,9,2.174
30,ホ,ho,9,2.174
31,マ,ma,9,2.174
32,ミ,mi,9,2.174
33,ム,mu,9,2.174
34,メ,me,9,2.174
35,モ,mo,9,2.174
36,ヤ,ya,9,2.174
37,ユ,yu,9,2.174
38,ヨ,yo,9,2.174
39,ラ,ra,9,2.174
40,リ,ri,9,2.174
41,ル,ru,9,2.174
42,レ,re,9,2.174
43,ロ,ro,9,2.174
44,ワ,wa,9,2.174
45,ヲ,wo,9,2.174
46,ン,n,9,2.174
